SoC,R0_Ohms,Temperature_C
0.192539423076923,0.0335477559743465,5.643651
0.156151282051282,0.0353203026602955,5.555463
0.124234294871795,0.036501034298043,5.504423
0.996233012820513,0.0322643971412885,15.53537
0.947071153846154,0.02918912939217,15.54822
0.899422435897436,0.02715795592193,15.46353
0.852621794871795,0.0256315162091508,15.79988
0.805945192307692,0.0243091261185855,14.95163
0.759270192307692,0.0234059441595097,15.27461
0.71258108974359,0.0230115887429138,15.39675
0.665902564102564,0.0225265280566115,15.33529
0.619221153846154,0.022312362072627,15.75574
0.572544230769231,0.0222206949826055,15.56963
0.525865064102564,0.0221567502379324,15.74598
0.47919967948718,0.0220857344296947,15.84941
0.432535897435897,0.0220870514087343,15.84727
0.385861858974359,0.0223006940149797,15.7016
0.339183653846154,0.0225750837623376,15.79772
0.292510897435898,0.0230420585664576,15.74496
0.245841666666667,0.0240454469240728,15.95138
0.199164423076923,0.0258676043523495,15.74406
0.152499038461539,0.0288207296272422,15.89695
0.105926282051282,0.0336391254441855,15.53079
1,0.0276534163061345,15.57456
0.95828141025641,0.0258324910451771,15.4187
0.908263141025641,0.0246675170772079,15.41501
0.859400961538462,0.0237050727338623,15.59746
0.811809935897436,0.0228631241064073,15.50402
0.765106730769231,0.0222861722328939,15.53499
0.718412179487179,0.0220010394456931,15.54151
0.671713782051282,0.0216477896510077,15.45074
0.625013782051282,0.0214984341072969,15.557
0.578337820512821,0.0214357506282659,15.52576
0.5316375,0.021385579112316,15.10523
0.484955448717949,0.0213394016462922,15.30657
0.438269871794872,0.0213691312247293,15.80714
0.39158141025641,0.0215779406605859,15.65828
0.344900641025641,0.0218231343750236,15.95192
0.298219551282051,0.0223291247271988,15.59097
0.251535897435898,0.0233488332145219,15.67899
0.205523397435898,0.0249889463491689,15.68093
0.163349679487179,0.0264748687829063,15.88763
0.127213461538462,0.028257947752822,15.51387
0.977852884615385,0.0323939377254082,15.54238
0.928810256410256,0.0295811075124809,15.5398
0.881172756410256,0.0277396390574448,15.46495
0.834345833333333,0.0261626994722948,15.64032
0.787650961538461,0.0248521276207638,14.97606
0.740958653846154,0.0239895508158693,15.39631
0.694261217948718,0.023616019737612,15.58155
0.647570512820513,0.0231479728441181,15.21025
0.60086891025641,0.0229417275700397,15.86831
0.55418782051282,0.0228376050961026,15.86927
0.507500320512821,0.0227556405390579,16.09455
0.460808653846154,0.0226752997892424,15.69026
0.414130448717949,0.0227244789591089,15.77445
0.367444871794872,0.0229763327294453,15.70895
0.320762820512821,0.0232198238303882,15.66951
0.274078205128205,0.0237972195187089,15.71789
0.227397435897436,0.0249585474218183,15.92697
0.180714423076923,0.0269649828479553,15.7968
0.134036217948718,0.0302859597244478,15.59218
0.0879759615384615,0.0356546739607875,15.50913
0.980795833333334,0.0279382783893498,15.67001
0.929078205128205,0.0262833239626982,15.64176
0.878976923076923,0.0251492630004951,15.6081
0.830058333333333,0.024185211829958,15.42969
0.782509294871795,0.0233449298737293,15.575
0.735728205128205,0.0228166838399598,15.76973
0.688945833333333,0.0225480897085117,15.48492
0.642168269230769,0.0221897164370984,15.73453
0.595373397435897,0.0220415323361655,15.56485
0.548600961538462,0.0219953302070651,15.71147
0.501817948717949,0.0219213518521386,15.22909
0.455047756410257,0.0218804014079491,15.38912
0.408271794871795,0.0219561209299957,15.70243
0.361481730769231,0.0221862761088183,15.49639
0.314713461538461,0.02244953993023,16.04613
0.267934294871795,0.0230370139973177,15.75278
0.221163461538461,0.0241762079433472,15.73428
0.175676602564102,0.0259055107002937,15.50615
0.13480641025641,0.0275196217830768,15.84622
0.099920512820513,0.0293544707098298,15.58919
0.996468269230769,0.0258146900347684,25.65462
0.947140064102564,0.0228626651035241,25.422
0.899702564102564,0.0212382228678404,25.41787
0.852702564102564,0.0199593240314222,25.59232
0.805707051282051,0.0190333659313695,25.47133
0.758692307692308,0.0184413460253021,24.99121
0.711685897435897,0.0181584699006238,25.40664
0.664676923076923,0.0178323779664636,25.50751
0.617662179487179,0.0175964546758192,25.20236
0.570663141025641,0.0175610940955167,25.49043
0.523656730769231,0.0175190379831814,25.55672
0.476661538461539,0.0174791822722876,25.74575
0.429644551282051,0.0174815752724226,25.39396
0.382630128205128,0.0176112152108206,25.77766
0.335630769230769,0.017731325610202,25.74177
0.288629487179487,0.0179830873556225,25.70918
0.241634294871795,0.0186151533094485,25.27824
0.194633653846154,0.0196956095244982,25.53957
0.147639423076923,0.0215266322566913,25.80293
0.100642948717949,0.0254737590433124,25.62341
1,0.0228491904387394,25.40627
0.959024038461538,0.0211148557627051,25.57986
0.909270512820513,0.0200574359659913,25.215
0.860777884615385,0.0191928034276407,25.50616
0.813438782051282,0.0185409596350898,25.343
0.766412179487179,0.0180899292523447,25.35059
0.719408333333333,0.0178649982642595,25.23864
0.672388461538462,0.0175157266698472,25.34757
0.625350320512821,0.017408607148423,25.25868
0.578301602564102,0.0173687385485426,25.32138
0.531277243589744,0.0173172109873749,25.39514
0.484247756410256,0.0172802963755108,25.27555
0.437233653846154,0.0173140456411725,25.17731
0.390216346153846,0.0174492236267898,25.41413
0.34316858974359,0.0175805918079915,25.39001
0.296133653846154,0.0179040523913583,25.3868
0.249115064102564,0.0185660172994084,25.38354
0.202076282051282,0.0196384457464005,25.34214
0.156284615384615,0.021485019524922,25.335
0.116361217948718,0.0231301160086742,25.17501
0.978753205128205,0.0259275915887717,25.47547
0.929478846153846,0.0233037945487227,25.47964
0.881942307692308,0.0217340635812396,25.26527
0.834869230769231,0.020462467109932,25.32522
0.787774038461539,0.0194991215351813,25.45292
0.740699038461539,0.0189106210253131,25.18184
0.69361282051282,0.0186110350861986,25.39141
0.646534615384615,0.0182640881504192,25.57747
0.599455769230769,0.0180608165198602,25.28476
0.552377243589744,0.0180032822607731,25.5237
0.505297115384615,0.017961715785924,25.72444
0.458226923076923,0.0179225101671106,25.40025
0.411164743589744,0.0179334819581893,25.64137
0.364094551282051,0.0180621496845284,25.69641
0.317027243589744,0.0181914537124434,25.66667
0.269959294871795,0.0185481669532935,25.42829
0.222895833333333,0.0192344654362783,25.59452
0.175829487179487,0.0204386646227684,25.16098
0.128772756410256,0.0226158648165882,25.65359
0.0817150641025642,0.0273012410213495,25.34254
